Salami Popular with garlic - Imperial - Imperial Meat Products;0.1;0;0;1294;0;19.1;0.1
Salami Django 1/2 - Imperial - Imperial Meat Products;0.1;0;0;1144;0;17.4;0.1
Salami extra with garlic - Imperial - Imperial Meat Products;0.2;0;0;1370;0;19.3;0.2
Salami. peppered Apostle's bread - Imperial - Imperial Meat Products;0.2;0;0;1370;0;19.3;0.2
Salami with garlic Swing - Imperial - Imperial Meat Products;0.1;0;0;1294;0;19.1;0.1
Salami. pizzasalami - Imperial - Imperial Meat Products;0.3;0;0;1429;0;21.5;0.3
Salami with garlic sliced 365 - Delhaize - 365 - Delhaize groupe;1;0;0;1300;0;17.3;1
Sausage. blood. cooked;9.2;248;108;672;0;11.8;0.9
Sausage. Campesino - Delhaize - Delhaize groupe;3.5;0;0;1700;0;24.5;3.5
Salami garlic free sliced 365 - Delhaize - 365 - Delhaize groupe;1;0;0;1300;0;17.3;1
Poultry ham cooked with vegetables dindisson - Cornby - Dacor;2.1;0;0;763;0;12.6;0.6
Meatloaf fine provençal - Cornby - Dacor;1.8;0;0;798;0;10.9;1.8
Sausage. cooked chicken sausage poulerolle - Cornby - Dacor;2.9;0;0;804;0;14.8;1.3
Sausage. dry sausage boar - Delhaize - Delhaize groupe;2.9;0;0;1200;0;29.2;2.9
Ham. Poultry roasted - Cornby - Dacor;1.3;0;0;776;0;15.5;1.3
Ham. Prosciutto Crudo - Herta - Nestlé Belgilux S.A.;0.1;0;0;2000;0;26;0.1
Pâté. crème 1.75 Kg - Imperial - Imperial Meat Products;4.5;0;0;669;0;10.5;3.1
Pate. creme 365 - Delhaize - 365 - Delhaize groupe;2.4;0;0;830;0;11.3;2.4
Ham. cooked. degreased. derinded Masterly - Imperial - Imperial Meat Products;0.7;0;0;747;0;21.5;0.7
Filet de Saxe. edelsaxe - Imperial - Imperial Meat Products;0.3;0;0;1442;0;26;0.3
Pâté country style block - Delhaize - Delhaize groupe;2.4;0;0;830;0;11;2.4
Sausage. dry boerke 350g/18pieces - Imperial - Imperial Meat Products;0.2;0;0;1613;0;21.4;0.2
Chickenfillet. asparagus. chicken shaped - Cornby - Dacor;1.3;0;0;776;0;14.7;1.3
Ham. cooked. degreased. derinded. mandolino - Imperial - Imperial Meat Products;0.7;0;0;708;0;19;0.7
Chicken filet broccoli - Cornby - Dacor;1.1;0;0;772;0;15.5;1.1
Chicken filet. mediterranean shaped chicken - Cornby - Dacor;2.4;0;0;1145;0;14.5;1.4
Snack. pure pork 80g/200g - Aoste Snack - Imperial Meat Products;1;0;0;1849;0;33;1
Salami chorizo snack 80g - Aoste Snack - Imperial Meat Products;0.5;0;0;1967;0;28;0.5
Salami. bistro - Aoste Authentique - Imperial Meat Products;0.1;0;0;1725;0;24;0.1
Salami Genova - Delhaize - Delhaize groupe;0.1;0;0;1390;0;21.5;0.1
Salami guelderland sausage band - Imperial - Imperial Meat Products;0.1;0;0;1469;0;22.8;0.1
Ham. country style. deboned. not smoked - Imperial - Imperial Meat Products;0.6;0;0;2085;0;24.4;0.6
Sausage. cooked sausage with parsley printanier - Cornby - Dacor;2.5;0;0;821;0;12.4;1.7
Ham. Cobourg. extra sweet white no smoked - Imperial - Imperial Meat Products;0.9;0;0;1770;0;23.7;0.9
Ham. formed - Imperial - Imperial Meat Products;0.6;0;0;1967;0;26;0.6
Ham. gin and spices - Carrefour - Carrefour Belgium;1.1;0;0;990;0;18.8;1.1
Ham. raw 100g - Weight Watchers - Imperial Meat Products;0.9;0;0;1778;0;28;0.9
Ham. raw ham - traiteur - Carrefour - Carrefour Belgium;2.2;0;0;1515;0;23;2.2
Luncheon sausage 120g - Weight Watchers - Imperial Meat Products;3.1;0;0;787;0;12;0.9
Spread. chickensalade with curry 150g - Weight Watchers - Imperial Meat Products;5.8;0;0;400;0;10.4;2.3
Meatloaf. Strasbourg;4.9;165;140;796;0;10.4;2.3
Minced ball. vegetables - Delhaize - Delhaize groupe;9;0;0;680;0;13;1.5
Ham. cooked;0.7;347;264;750;0;21.5;0.7
Ham. cooked & defatted ham - Carrefour Discount - Carrefour Belgium;1.2;0;0;800;0;18.9;1
Salami with paprika smoked - Gebirgsjäger - Lidl Belgium GmbH;2;0;0;1600;0;22;1.4
Sausage. Bifi beer sausage - Bifi - Unilever Belgium N.V.;1;0;0;1200;0;20;0.8
Sausage. grill sausage - Delhaize - Delhaize groupe;1.9;0;0;700;0;12.9;0.6
Chicken. original crispy chicken - Iglo - Iglo Belgium SA/NV;20;0;0;490;0;15;0.6
Suisseburger. breaded (ham and cheese);5;249;330;550;0;22.5;0
Sweets. marshmallow. Supermix - Carrefour - Carrefour Belgium;79.3;0;0;7;0;3.6;70.7
Sausages. cocktail;2.5;86;279;801;0;11.5;0.1
Sausages. cocktail sausages discount - Carrefour Discount - Carrefour Belgium;1.1;0;0;732;0;12;0.1
Pork meat. marinated. raw;2;241;167;457;0;13.2;1.5
Pork press head with tomato 150g - Carrefour - Carrefour Belgium;3;0;0;1100;0;13;2
Minced meat. pork. seasoned. raw;0;320;166;583;0;16.9;0
Minced meat. pork. unseasoned. raw;0;326;170;62;0;16.9;0
Spread. chicken fillet salad - Delhaize - Delhaize groupe;4.6;0;0;420;0;12;1.3
Spread pita salad spicy - Delhaize - Delhaize groupe;8.4;0;0;600;0;8.4;4.7
Spread. Hawaiian Chicken Salad FOA - Delhaize - Delhaize groupe;6.5;0;0;540;0;9.6;5.6
Cooked ham. defatted - Amando - Amando Vleeswarenfabriek N.V.;2.1;0;0;955;0;18.5;1.9
Cooked shoulder 300 g - Carrefour Discount - Carrefour Belgium;0.8;0;0;720;0;19;0.8
Filet de Saxe 100g - Weight Watchers - Imperial Meat Products;0.2;0;0;1396;0;25;0.2
Pork. for cooked pork roast into slices - Imperial - Imperial Meat Products;0.8;0;0;638;0;20.7;0.8
Luncheon sausage 200g dis cars - Cornby - Dacor;3.8;0;0;708;0;11.6;0.9
Sausage. chicken - Cornby - Dacor;3.4;0;0;831;0;12.9;1.5
Sausage. chicken sausage bio - Carrefour BIO - Carrefour Belgium;0.7;0;0;393;0;18.9;0.7
Salami. chicken 100% - Aoste Authentique - Imperial Meat Products;0.1;0;0;1263;0;19;0.1
